team,team_against,week,matchup_type,points_for,points_against,league_id
JOB Squad,Bob the Great,3,REGULAR_SEASON,73.5,105.5,116119
Bob the Great,JOB Squad,3,REGULAR_SEASON,105.5,73.5,116119
Dak's Tow Cables,J.O.B. squad,3,REGULAR_SEASON,102.4,72.88,116119
J.O.B. squad,Dak's Tow Cables,3,REGULAR_SEASON,72.88,102.4,116119
K G's Kool Team,UnableToGrowPubes,3,REGULAR_SEASON,99.88,122.48,116119
UnableToGrowPubes,K G's Kool Team,3,REGULAR_SEASON,122.48,99.88,116119
Muffin Lords,HACKenSLASHenBURG,4,REGULAR_SEASON,117.08,100.46,116119
HACKenSLASHenBURG,Muffin Lords,4,REGULAR_SEASON,100.46,117.08,116119
Ballhogs2,The New York Grimes,4,REGULAR_SEASON,111.38,72.12,116119
The New York Grimes,Ballhogs2,4,REGULAR_SEASON,72.12,111.38,116119
Bengal Ball,Dak's Tow Cables,4,REGULAR_SEASON,120.24,82.52,116119
Dak's Tow Cables,Bengal Ball,4,REGULAR_SEASON,82.52,120.24,116119
JOB Squad,K G's Kool Team,4,REGULAR_SEASON,80.68,84.7,116119
K G's Kool Team,JOB Squad,4,REGULAR_SEASON,84.7,80.68,116119
J.O.B. squad,UnableToGrowPubes,4,REGULAR_SEASON,94.32,99.8,116119
UnableToGrowPubes,J.O.B. squad,4,REGULAR_SEASON,99.8,94.32,116119
LPH,Bob the Great,4,REGULAR_SEASON,73.86,95.44,116119
Bob the Great,LPH,4,REGULAR_SEASON,95.44,73.86,116119
Muffin Lords,Ballhogs2,5,REGULAR_SEASON,84.4,76.44,116119
Ballhogs2,Muffin Lords,5,REGULAR_SEASON,76.44,84.4,116119
Bengal Ball,UnableToGrowPubes,5,REGULAR_SEASON,74.26,110.34,116119
UnableToGrowPubes,Bengal Ball,5,REGULAR_SEASON,110.34,74.26,116119
JOB Squad,J.O.B. squad,5,REGULAR_SEASON,73.18,103.02,116119
J.O.B. squad,JOB Squad,5,REGULAR_SEASON,103.02,73.18,116119
Dak's Tow Cables,HACKenSLASHenBURG,5,REGULAR_SEASON,76.4,105.68,116119
HACKenSLASHenBURG,Dak's Tow Cables,5,REGULAR_SEASON,105.68,76.4,116119
K G's Kool Team,LPH,5,REGULAR_SEASON,77.66,132.08,116119
LPH,K G's Kool Team,5,REGULAR_SEASON,132.08,77.66,116119
Bob the Great,The New York Grimes,5,REGULAR_SEASON,103.46,70.1,116119
The New York Grimes,Bob the Great,5,REGULAR_SEASON,70.1,103.46,116119
Muffin Lords,Dak's Tow Cables,6,REGULAR_SEASON,56.94,102,116119
Dak's Tow Cables,Muffin Lords,6,REGULAR_SEASON,102,56.94,116119
Ballhogs2,Bob the Great,6,REGULAR_SEASON,107,132.76,116119
Bob the Great,Ballhogs2,6,REGULAR_SEASON,132.76,107,116119
Bengal Ball,JOB Squad,6,REGULAR_SEASON,112.36,66.92,116119
JOB Squad,Bengal Ball,6,REGULAR_SEASON,66.92,112.36,116119
J.O.B. squad,LPH,6,REGULAR_SEASON,58.02,91.1,116119
LPH,J.O.B. squad,6,REGULAR_SEASON,91.1,58.02,116119
K G's Kool Team,The New York Grimes,6,REGULAR_SEASON,87.68,115.62,116119
The New York Grimes,K G's Kool Team,6,REGULAR_SEASON,115.62,87.68,116119
HACKenSLASHenBURG,UnableToGrowPubes,6,REGULAR_SEASON,80.28,69.56,116119
UnableToGrowPubes,HACKenSLASHenBURG,6,REGULAR_SEASON,69.56,80.28,116119
Muffin Lords,Bob the Great,7,REGULAR_SEASON,60.94,119.34,116119
Bob the Great,Muffin Lords,7,REGULAR_SEASON,119.34,60.94,116119
Ballhogs2,K G's Kool Team,7,REGULAR_SEASON,128.68,81.06,116119
K G's Kool Team,Ballhogs2,7,REGULAR_SEASON,81.06,128.68,116119
Bengal Ball,LPH,7,REGULAR_SEASON,54.02,111.22,116119
LPH,Bengal Ball,7,REGULAR_SEASON,111.22,54.02,116119
JOB Squad,HACKenSLASHenBURG,7,REGULAR_SEASON,119.46,80.32,116119
HACKenSLASHenBURG,JOB Squad,7,REGULAR_SEASON,80.32,119.46,116119
Dak's Tow Cables,UnableToGrowPubes,7,REGULAR_SEASON,58.44,111.98,116119
UnableToGrowPubes,Dak's Tow Cables,7,REGULAR_SEASON,111.98,58.44,116119
J.O.B. squad,The New York Grimes,7,REGULAR_SEASON,102.08,131.44,116119
The New York Grimes,J.O.B. squad,7,REGULAR_SEASON,131.44,102.08,116119
Muffin Lords,UnableToGrowPubes,8,REGULAR_SEASON,142.82,90.5,116119
UnableToGrowPubes,Muffin Lords,8,REGULAR_SEASON,90.5,142.82,116119
Ballhogs2,J.O.B. squad,8,REGULAR_SEASON,86.8,88.4,116119
J.O.B. squad,Ballhogs2,8,REGULAR_SEASON,88.4,86.8,116119
Bengal Ball,The New York Grimes,8,REGULAR_SEASON,73.36,96.62,116119
The New York Grimes,Bengal Ball,8,REGULAR_SEASON,96.62,73.36,116119
JOB Squad,Dak's Tow Cables,8,REGULAR_SEASON,91.7,79.58,116119
Dak's Tow Cables,JOB Squad,8,REGULAR_SEASON,79.58,91.7,116119
K G's Kool Team,Bob the Great,8,REGULAR_SEASON,72.18,86.84,116119
Bob the Great,K G's Kool Team,8,REGULAR_SEASON,86.84,72.18,116119
HACKenSLASHenBURG,LPH,8,REGULAR_SEASON,104.5,98.62,116119
LPH,HACKenSLASHenBURG,8,REGULAR_SEASON,98.62,104.5,116119
Muffin Lords,K G's Kool Team,9,REGULAR_SEASON,76.98,102.1,116119
K G's Kool Team,Muffin Lords,9,REGULAR_SEASON,102.1,76.98,116119
Ballhogs2,Bengal Ball,9,REGULAR_SEASON,129.92,72.06,116119
Bengal Ball,Ballhogs2,9,REGULAR_SEASON,72.06,129.92,116119
JOB Squad,UnableToGrowPubes,9,REGULAR_SEASON,90.36,94.52,116119
UnableToGrowPubes,JOB Squad,9,REGULAR_SEASON,94.52,90.36,116119
Dak's Tow Cables,LPH,9,REGULAR_SEASON,61.78,151.46,116119
LPH,Dak's Tow Cables,9,REGULAR_SEASON,151.46,61.78,116119
J.O.B. squad,Bob the Great,9,REGULAR_SEASON,96.02,126.18,116119
Bob the Great,J.O.B. squad,9,REGULAR_SEASON,126.18,96.02,116119
HACKenSLASHenBURG,The New York Grimes,9,REGULAR_SEASON,80.44,92.2,116119
The New York Grimes,HACKenSLASHenBURG,9,REGULAR_SEASON,92.2,80.44,116119
Muffin Lords,JOB Squad,10,REGULAR_SEASON,80.64,83.12,116119
JOB Squad,Muffin Lords,10,REGULAR_SEASON,83.12,80.64,116119
Ballhogs2,HACKenSLASHenBURG,10,REGULAR_SEASON,122.92,82.32,116119
HACKenSLASHenBURG,Ballhogs2,10,REGULAR_SEASON,82.32,122.92,116119
Bengal Ball,Bob the Great,10,REGULAR_SEASON,88.16,114.64,116119
Bob the Great,Bengal Ball,10,REGULAR_SEASON,114.64,88.16,116119
Dak's Tow Cables,The New York Grimes,10,REGULAR_SEASON,86.82,80.34,116119
The New York Grimes,Dak's Tow Cables,10,REGULAR_SEASON,80.34,86.82,116119
J.O.B. squad,K G's Kool Team,10,REGULAR_SEASON,114.1,91.74,116119
K G's Kool Team,J.O.B. squad,10,REGULAR_SEASON,91.74,114.1,116119
LPH,UnableToGrowPubes,10,REGULAR_SEASON,110.58,89.74,116119
UnableToGrowPubes,LPH,10,REGULAR_SEASON,89.74,110.58,116119
Muffin Lords,J.O.B. squad,11,REGULAR_SEASON,87.72,124.9,116119
J.O.B. squad,Muffin Lords,11,REGULAR_SEASON,124.9,87.72,116119
Ballhogs2,Dak's Tow Cables,11,REGULAR_SEASON,69,103.84,116119
Dak's Tow Cables,Ballhogs2,11,REGULAR_SEASON,103.84,69,116119
Bengal Ball,K G's Kool Team,11,REGULAR_SEASON,70.78,77.48,116119
K G's Kool Team,Bengal Ball,11,REGULAR_SEASON,77.48,70.78,116119
JOB Squad,LPH,11,REGULAR_SEASON,70.58,73,116119
LPH,JOB Squad,11,REGULAR_SEASON,73,70.58,116119
HACKenSLASHenBURG,Bob the Great,11,REGULAR_SEASON,71.38,94.34,116119
Bob the Great,HACKenSLASHenBURG,11,REGULAR_SEASON,94.34,71.38,116119
The New York Grimes,UnableToGrowPubes,11,REGULAR_SEASON,111.5,96.2,116119
UnableToGrowPubes,The New York Grimes,11,REGULAR_SEASON,96.2,111.5,116119
Muffin Lords,LPH,12,REGULAR_SEASON,93.36,108.6,116119
LPH,Muffin Lords,12,REGULAR_SEASON,108.6,93.36,116119
Ballhogs2,UnableToGrowPubes,12,REGULAR_SEASON,133.6,72.14,116119
UnableToGrowPubes,Ballhogs2,12,REGULAR_SEASON,72.14,133.6,116119
Bengal Ball,J.O.B. squad,12,REGULAR_SEASON,105.46,79.74,116119
J.O.B. squad,Bengal Ball,12,REGULAR_SEASON,79.74,105.46,116119
JOB Squad,The New York Grimes,12,REGULAR_SEASON,82.34,79.66,116119
The New York Grimes,JOB Squad,12,REGULAR_SEASON,79.66,82.34,116119
Dak's Tow Cables,Bob the Great,12,REGULAR_SEASON,91.3,114.42,116119
Bob the Great,Dak's Tow Cables,12,REGULAR_SEASON,114.42,91.3,116119
K G's Kool Team,HACKenSLASHenBURG,12,REGULAR_SEASON,87.24,85.94,116119
HACKenSLASHenBURG,K G's Kool Team,12,REGULAR_SEASON,85.94,87.24,116119
Muffin Lords,Bengal Ball,13,REGULAR_SEASON,106.6,76.1,116119
Bengal Ball,Muffin Lords,13,REGULAR_SEASON,76.1,106.6,116119
Ballhogs2,JOB Squad,13,REGULAR_SEASON,101.64,76.94,116119
JOB Squad,Ballhogs2,13,REGULAR_SEASON,76.94,101.64,116119
Dak's Tow Cables,K G's Kool Team,13,REGULAR_SEASON,88.86,74.48,116119
K G's Kool Team,Dak's Tow Cables,13,REGULAR_SEASON,74.48,88.86,116119
J.O.B. squad,HACKenSLASHenBURG,13,REGULAR_SEASON,91.06,98.48,116119
HACKenSLASHenBURG,J.O.B. squad,13,REGULAR_SEASON,98.48,91.06,116119
LPH,The New York Grimes,13,REGULAR_SEASON,88.28,73.6,116119
The New York Grimes,LPH,13,REGULAR_SEASON,73.6,88.28,116119
Bob the Great,UnableToGrowPubes,13,REGULAR_SEASON,111.36,69.96,116119
UnableToGrowPubes,Bob the Great,13,REGULAR_SEASON,69.96,111.36,116119
Ballhogs2,The New York Grimes,14,PLAYOFF,68.28,71.36,116119
The New York Grimes,Ballhogs2,14,PLAYOFF,71.36,68.28,116119
Bengal Ball,JOB Squad,14,PLAYOFF,101.42,66.72,116119
JOB Squad,Bengal Ball,14,PLAYOFF,66.72,101.42,116119
Dak's Tow Cables,K G's Kool Team,14,PLAYOFF,51.6,51.5,116119
K G's Kool Team,Dak's Tow Cables,14,PLAYOFF,51.5,51.6,116119
J.O.B. squad,UnableToGrowPubes,14,PLAYOFF,113.76,135.34,116119
UnableToGrowPubes,J.O.B. squad,14,PLAYOFF,135.34,113.76,116119
Muffin Lords,Bengal Ball,15,PLAYOFF,97.92,94.14,116119
Bengal Ball,Muffin Lords,15,PLAYOFF,94.14,97.92,116119
Ballhogs2,J.O.B. squad,15,PLAYOFF,97.76,77.74,116119
J.O.B. squad,Ballhogs2,15,PLAYOFF,77.74,97.76,116119
JOB Squad,K G's Kool Team,15,PLAYOFF,57.72,79.5,116119
K G's Kool Team,JOB Squad,15,PLAYOFF,79.5,57.72,116119
Dak's Tow Cables,HACKenSLASHenBURG,15,PLAYOFF,84.66,87.96,116119
HACKenSLASHenBURG,Dak's Tow Cables,15,PLAYOFF,87.96,84.66,116119
LPH,The New York Grimes,15,PLAYOFF,84.84,128.4,116119
The New York Grimes,LPH,15,PLAYOFF,128.4,84.84,116119
Bob the Great,UnableToGrowPubes,15,PLAYOFF,77.98,77.72,116119
UnableToGrowPubes,Bob the Great,15,PLAYOFF,77.72,77.98,116119
Muffin Lords,HACKenSLASHenBURG,16,PLAYOFF,72.16,108.2,116119
HACKenSLASHenBURG,Muffin Lords,16,PLAYOFF,108.2,72.16,116119
Bengal Ball,Dak's Tow Cables,16,PLAYOFF,74.44,107.88,116119
Dak's Tow Cables,Bengal Ball,16,PLAYOFF,107.88,74.44,116119
LPH,UnableToGrowPubes,16,PLAYOFF,85.68,70.46,116119
UnableToGrowPubes,LPH,16,PLAYOFF,70.46,85.68,116119
Bob the Great,The New York Grimes,16,CHAMPIONSHIP,142.78,75.08,116119
The New York Grimes,Bob the Great,16,CHAMPIONSHIP,75.08,142.78,116119
Muffin Lords,Game of Zones,1,REGULAR_SEASON,100.94,115.68,166438
Game of Zones,Muffin Lords,1,REGULAR_SEASON,115.68,100.94,166438
Ballhogs2,The New York Grimes,1,REGULAR_SEASON,77.48,67.48,166438
The New York Grimes,Ballhogs2,1,REGULAR_SEASON,67.48,77.48,166438
The Great Bob,J.O.B. squad,1,REGULAR_SEASON,75.84,71.02,166438
J.O.B. squad,The Great Bob,1,REGULAR_SEASON,71.02,75.84,166438
Dak's Tow Cables,Curse Of The Rexbino,1,REGULAR_SEASON,77.9,85.78,166438
Curse Of The Rexbino,Dak's Tow Cables,1,REGULAR_SEASON,85.78,77.9,166438
LPCP,K G's Kool Team,1,REGULAR_SEASON,116.74,93.54,166438
K G's Kool Team,LPCP,1,REGULAR_SEASON,93.54,116.74,166438
Shootin for 6th,Devonta Freefolk,1,REGULAR_SEASON,60.54,98.08,166438
Devonta Freefolk,Shootin for 6th,1,REGULAR_SEASON,98.08,60.54,166438
Muffin Lords,LPCP,2,REGULAR_SEASON,78.82,83.8,166438
LPCP,Muffin Lords,2,REGULAR_SEASON,83.8,78.82,166438
Ballhogs2,Game of Zones,2,REGULAR_SEASON,90.24,85.16,166438
Game of Zones,Ballhogs2,2,REGULAR_SEASON,85.16,90.24,166438
The Great Bob,Dak's Tow Cables,2,REGULAR_SEASON,100.88,65.56,166438
Dak's Tow Cables,The Great Bob,2,REGULAR_SEASON,65.56,100.88,166438
Curse Of The Rexbino,The New York Grimes,2,REGULAR_SEASON,121.78,81.38,166438
The New York Grimes,Curse Of The Rexbino,2,REGULAR_SEASON,81.38,121.78,166438
J.O.B. squad,Shootin for 6th,2,REGULAR_SEASON,93.22,106.44,166438
Shootin for 6th,J.O.B. squad,2,REGULAR_SEASON,106.44,93.22,166438
K G's Kool Team,Devonta Freefolk,2,REGULAR_SEASON,74.32,93.32,166438
Devonta Freefolk,K G's Kool Team,2,REGULAR_SEASON,93.32,74.32,166438
Muffin Lords,Ballhogs2,3,REGULAR_SEASON,69.52,108.98,166438
Ballhogs2,Muffin Lords,3,REGULAR_SEASON,108.98,69.52,166438
Game of Zones,Curse Of The Rexbino,3,REGULAR_SEASON,103.22,123.32,166438
Curse Of The Rexbino,Game of Zones,3,REGULAR_SEASON,123.32,103.22,166438
The Great Bob,The New York Grimes,3,REGULAR_SEASON,62.06,87.46,166438
The New York Grimes,The Great Bob,3,REGULAR_SEASON,87.46,62.06,166438
Dak's Tow Cables,Shootin for 6th,3,REGULAR_SEASON,113.6,103.7,166438
Shootin for 6th,Dak's Tow Cables,3,REGULAR_SEASON,103.7,113.6,166438
J.O.B. squad,K G's Kool Team,3,REGULAR_SEASON,34.3,87.38,166438
K G's Kool Team,J.O.B. squad,3,REGULAR_SEASON,87.38,34.3,166438
LPCP,Devonta Freefolk,3,REGULAR_SEASON,101.1,77.34,166438
Devonta Freefolk,LPCP,3,REGULAR_SEASON,77.34,101.1,166438
Muffin Lords,Curse Of The Rexbino,4,REGULAR_SEASON,70.16,108.08,166438
Curse Of The Rexbino,Muffin Lords,4,REGULAR_SEASON,108.08,70.16,166438
Ballhogs2,LPCP,4,REGULAR_SEASON,69.38,105.44,166438
LPCP,Ballhogs2,4,REGULAR_SEASON,105.44,69.38,166438
Game of Zones,The Great Bob,4,REGULAR_SEASON,93.58,84.78,166438
The Great Bob,Game of Zones,4,REGULAR_SEASON,84.78,93.58,166438
Dak's Tow Cables,K G's Kool Team,4,REGULAR_SEASON,84,91.6,166438
K G's Kool Team,Dak's Tow Cables,4,REGULAR_SEASON,91.6,84,166438
J.O.B. squad,Devonta Freefolk,4,REGULAR_SEASON,99.28,75.68,166438
Devonta Freefolk,J.O.B. squad,4,REGULAR_SEASON,75.68,99.28,166438
Shootin for 6th,The New York Grimes,4,REGULAR_SEASON,90.42,92.96,166438
The New York Grimes,Shootin for 6th,4,REGULAR_SEASON,92.96,90.42,166438
Muffin Lords,The Great Bob,5,REGULAR_SEASON,86.34,108,166438
The Great Bob,Muffin Lords,5,REGULAR_SEASON,108,86.34,166438
Ballhogs2,Curse Of The Rexbino,5,REGULAR_SEASON,72.52,49.82,166438
Curse Of The Rexbino,Ballhogs2,5,REGULAR_SEASON,49.82,72.52,166438
Game of Zones,Shootin for 6th,5,REGULAR_SEASON,94.46,71.36,166438
Shootin for 6th,Game of Zones,5,REGULAR_SEASON,71.36,94.46,166438
Dak's Tow Cables,Devonta Freefolk,5,REGULAR_SEASON,98.84,97.66,166438
Devonta Freefolk,Dak's Tow Cables,5,REGULAR_SEASON,97.66,98.84,166438
J.O.B. squad,LPCP,5,REGULAR_SEASON,93.84,100.26,166438
LPCP,J.O.B. squad,5,REGULAR_SEASON,100.26,93.84,166438
K G's Kool Team,The New York Grimes,5,REGULAR_SEASON,103.42,78.86,166438
The New York Grimes,K G's Kool Team,5,REGULAR_SEASON,78.86,103.42,166438
Muffin Lords,Shootin for 6th,6,REGULAR_SEASON,83.12,43.84,166438
Shootin for 6th,Muffin Lords,6,REGULAR_SEASON,43.84,83.12,166438
Ballhogs2,The Great Bob,6,REGULAR_SEASON,116.42,108.42,166438
The Great Bob,Ballhogs2,6,REGULAR_SEASON,108.42,116.42,166438
Game of Zones,K G's Kool Team,6,REGULAR_SEASON,72.54,113.56,166438
K G's Kool Team,Game of Zones,6,REGULAR_SEASON,113.56,72.54,166438
Dak's Tow Cables,J.O.B. squad,6,REGULAR_SEASON,96.2,97.62,166438
J.O.B. squad,Dak's Tow Cables,6,REGULAR_SEASON,97.62,96.2,166438
Curse Of The Rexbino,LPCP,6,REGULAR_SEASON,76.78,64.74,166438
LPCP,Curse Of The Rexbino,6,REGULAR_SEASON,64.74,76.78,166438
The New York Grimes,Devonta Freefolk,6,REGULAR_SEASON,77.38,100.48,166438
Devonta Freefolk,The New York Grimes,6,REGULAR_SEASON,100.48,77.38,166438
Muffin Lords,K G's Kool Team,7,REGULAR_SEASON,65.38,69.66,166438
K G's Kool Team,Muffin Lords,7,REGULAR_SEASON,69.66,65.38,166438
Ballhogs2,Shootin for 6th,7,REGULAR_SEASON,67.52,79.14,166438
Shootin for 6th,Ballhogs2,7,REGULAR_SEASON,79.14,67.52,166438
Game of Zones,Devonta Freefolk,7,REGULAR_SEASON,136.28,116.12,166438
Devonta Freefolk,Game of Zones,7,REGULAR_SEASON,116.12,136.28,166438
The Great Bob,Curse Of The Rexbino,7,REGULAR_SEASON,79.42,104.06,166438
Curse Of The Rexbino,The Great Bob,7,REGULAR_SEASON,104.06,79.42,166438
Dak's Tow Cables,LPCP,7,REGULAR_SEASON,71.12,78.32,166438
LPCP,Dak's Tow Cables,7,REGULAR_SEASON,78.32,71.12,166438
J.O.B. squad,The New York Grimes,7,REGULAR_SEASON,107.86,71.22,166438
The New York Grimes,J.O.B. squad,7,REGULAR_SEASON,71.22,107.86,166438
Muffin Lords,Devonta Freefolk,8,REGULAR_SEASON,114.72,114.84,166438
Devonta Freefolk,Muffin Lords,8,REGULAR_SEASON,114.84,114.72,166438
Ballhogs2,K G's Kool Team,8,REGULAR_SEASON,91.78,119.78,166438
K G's Kool Team,Ballhogs2,8,REGULAR_SEASON,119.78,91.78,166438
Game of Zones,J.O.B. squad,8,REGULAR_SEASON,80.9,76.52,166438
J.O.B. squad,Game of Zones,8,REGULAR_SEASON,76.52,80.9,166438
The Great Bob,LPCP,8,REGULAR_SEASON,111.86,86.28,166438
LPCP,The Great Bob,8,REGULAR_SEASON,86.28,111.86,166438
Dak's Tow Cables,The New York Grimes,8,REGULAR_SEASON,62.22,114.3,166438
The New York Grimes,Dak's Tow Cables,8,REGULAR_SEASON,114.3,62.22,166438
Curse Of The Rexbino,Shootin for 6th,8,REGULAR_SEASON,75.62,49.06,166438
Shootin for 6th,Curse Of The Rexbino,8,REGULAR_SEASON,49.06,75.62,166438
Muffin Lords,J.O.B. squad,9,REGULAR_SEASON,72.42,112.56,166438
J.O.B. squad,Muffin Lords,9,REGULAR_SEASON,112.56,72.42,166438
Ballhogs2,Devonta Freefolk,9,REGULAR_SEASON,91.34,89.46,166438
Devonta Freefolk,Ballhogs2,9,REGULAR_SEASON,89.46,91.34,166438
Game of Zones,Dak's Tow Cables,9,REGULAR_SEASON,83.78,64.48,166438
Dak's Tow Cables,Game of Zones,9,REGULAR_SEASON,64.48,83.78,166438
The Great Bob,Shootin for 6th,9,REGULAR_SEASON,105.18,98.22,166438
Shootin for 6th,The Great Bob,9,REGULAR_SEASON,98.22,105.18,166438
Curse Of The Rexbino,K G's Kool Team,9,REGULAR_SEASON,87.9,87.78,166438
K G's Kool Team,Curse Of The Rexbino,9,REGULAR_SEASON,87.78,87.9,166438
LPCP,The New York Grimes,9,REGULAR_SEASON,58.12,73.74,166438
The New York Grimes,LPCP,9,REGULAR_SEASON,73.74,58.12,166438
Muffin Lords,Dak's Tow Cables,10,REGULAR_SEASON,74.08,67.24,166438
Dak's Tow Cables,Muffin Lords,10,REGULAR_SEASON,67.24,74.08,166438
Ballhogs2,J.O.B. squad,10,REGULAR_SEASON,112.1,99.74,166438
J.O.B. squad,Ballhogs2,10,REGULAR_SEASON,99.74,112.1,166438
Game of Zones,The New York Grimes,10,REGULAR_SEASON,92.42,111.86,166438
The New York Grimes,Game of Zones,10,REGULAR_SEASON,111.86,92.42,166438
The Great Bob,K G's Kool Team,10,REGULAR_SEASON,80.76,81.02,166438
K G's Kool Team,The Great Bob,10,REGULAR_SEASON,81.02,80.76,166438
Curse Of The Rexbino,Devonta Freefolk,10,REGULAR_SEASON,91.44,127.58,166438
Devonta Freefolk,Curse Of The Rexbino,10,REGULAR_SEASON,127.58,91.44,166438
LPCP,Shootin for 6th,10,REGULAR_SEASON,71.76,72.86,166438
Shootin for 6th,LPCP,10,REGULAR_SEASON,72.86,71.76,166438
Muffin Lords,The New York Grimes,11,REGULAR_SEASON,64.02,76.46,166438
The New York Grimes,Muffin Lords,11,REGULAR_SEASON,76.46,64.02,166438
Ballhogs2,Dak's Tow Cables,11,REGULAR_SEASON,88,77.46,166438
Dak's Tow Cables,Ballhogs2,11,REGULAR_SEASON,77.46,88,166438
Game of Zones,LPCP,11,REGULAR_SEASON,113.28,125.64,166438
LPCP,Game of Zones,11,REGULAR_SEASON,125.64,113.28,166438
The Great Bob,Devonta Freefolk,11,REGULAR_SEASON,85.1,140.82,166438
Devonta Freefolk,The Great Bob,11,REGULAR_SEASON,140.82,85.1,166438
Curse Of The Rexbino,J.O.B. squad,11,REGULAR_SEASON,121.5,70.2,166438
J.O.B. squad,Curse Of The Rexbino,11,REGULAR_SEASON,70.2,121.5,166438
K G's Kool Team,Shootin for 6th,11,REGULAR_SEASON,91.72,69,166438
Shootin for 6th,K G's Kool Team,11,REGULAR_SEASON,69,91.72,166438
Muffin Lords,Game of Zones,12,REGULAR_SEASON,76.24,136.86,166438
Game of Zones,Muffin Lords,12,REGULAR_SEASON,136.86,76.24,166438
Ballhogs2,The New York Grimes,12,REGULAR_SEASON,101.66,75.5,166438
The New York Grimes,Ballhogs2,12,REGULAR_SEASON,75.5,101.66,166438
The Great Bob,J.O.B. squad,12,REGULAR_SEASON,85.92,116.56,166438
J.O.B. squad,The Great Bob,12,REGULAR_SEASON,116.56,85.92,166438
Dak's Tow Cables,Curse Of The Rexbino,12,REGULAR_SEASON,70.22,96.78,166438
Curse Of The Rexbino,Dak's Tow Cables,12,REGULAR_SEASON,96.78,70.22,166438
LPCP,K G's Kool Team,12,REGULAR_SEASON,126.86,83.62,166438
K G's Kool Team,LPCP,12,REGULAR_SEASON,83.62,126.86,166438
Shootin for 6th,Devonta Freefolk,12,REGULAR_SEASON,80.54,86.48,166438
Devonta Freefolk,Shootin for 6th,12,REGULAR_SEASON,86.48,80.54,166438
Muffin Lords,LPCP,13,REGULAR_SEASON,69,112.2,166438
LPCP,Muffin Lords,13,REGULAR_SEASON,112.2,69,166438
Ballhogs2,Game of Zones,13,REGULAR_SEASON,105.56,59.68,166438
Game of Zones,Ballhogs2,13,REGULAR_SEASON,59.68,105.56,166438
The Great Bob,Dak's Tow Cables,13,REGULAR_SEASON,93.62,65.74,166438
Dak's Tow Cables,The Great Bob,13,REGULAR_SEASON,65.74,93.62,166438
Curse Of The Rexbino,The New York Grimes,13,REGULAR_SEASON,95.32,70.68,166438
The New York Grimes,Curse Of The Rexbino,13,REGULAR_SEASON,70.68,95.32,166438
J.O.B. squad,Shootin for 6th,13,REGULAR_SEASON,133.34,71.16,166438
Shootin for 6th,J.O.B. squad,13,REGULAR_SEASON,71.16,133.34,166438
K G's Kool Team,Devonta Freefolk,13,REGULAR_SEASON,97.48,105.82,166438
Devonta Freefolk,K G's Kool Team,13,REGULAR_SEASON,105.82,97.48,166438
Muffin Lords,Shootin for 6th,14,PLAYOFF,73.1,105.44,166438
Shootin for 6th,Muffin Lords,14,PLAYOFF,105.44,73.1,166438
Game of Zones,LPCP,14,PLAYOFF,64.74,87.66,166438
LPCP,Game of Zones,14,PLAYOFF,87.66,64.74,166438
Dak's Tow Cables,The New York Grimes,14,PLAYOFF,66.94,88.84,166438
The New York Grimes,Dak's Tow Cables,14,PLAYOFF,88.84,66.94,166438
K G's Kool Team,Devonta Freefolk,14,PLAYOFF,119.14,101.74,166438
Devonta Freefolk,K G's Kool Team,14,PLAYOFF,101.74,119.14,166438
Muffin Lords,Dak's Tow Cables,15,PLAYOFF,105.46,69.54,166438
Dak's Tow Cables,Muffin Lords,15,PLAYOFF,69.54,105.46,166438
Ballhogs2,LPCP,15,PLAYOFF,95.28,87.74,166438
LPCP,Ballhogs2,15,PLAYOFF,87.74,95.28,166438
Game of Zones,Devonta Freefolk,15,PLAYOFF,101.34,117.28,166438
Devonta Freefolk,Game of Zones,15,PLAYOFF,117.28,101.34,166438
The Great Bob,The New York Grimes,15,PLAYOFF,96.88,82.78,166438
The New York Grimes,The Great Bob,15,PLAYOFF,82.78,96.88,166438
Curse Of The Rexbino,K G's Kool Team,15,PLAYOFF,142.82,69.48,166438
K G's Kool Team,Curse Of The Rexbino,15,PLAYOFF,69.48,142.82,166438
J.O.B. squad,Shootin for 6th,15,PLAYOFF,109.98,47.74,166438
Shootin for 6th,J.O.B. squad,15,PLAYOFF,47.74,109.98,166438
Ballhogs2,Curse Of The Rexbino,16,CHAMPIONSHIP,88.9,102.56,166438
Curse Of The Rexbino,Ballhogs2,16,CHAMPIONSHIP,102.56,88.9,166438
The Great Bob,J.O.B. squad,16,PLAYOFF,86.4,98.24,166438
J.O.B. squad,The Great Bob,16,PLAYOFF,98.24,86.4,166438
LPCP,K G's Kool Team,16,PLAYOFF,118.68,49.62,166438
K G's Kool Team,LPCP,16,PLAYOFF,49.62,118.68,166438
Shootin for 6th,The New York Grimes,16,PLAYOFF,54.56,56.52,166438
The New York Grimes,Shootin for 6th,16,PLAYOFF,56.52,54.56,166438
Muffin Lords,Game of Zones,1,REGULAR_SEASON,104.64,126.36,102154
Game of Zones,Muffin Lords,1,REGULAR_SEASON,126.36,104.64,102154
Ballhogs2,It’s Always Sony,1,REGULAR_SEASON,70.16,107.26,102154
It’s Always Sony,Ballhogs2,1,REGULAR_SEASON,107.26,70.16,102154
Curse Of The Rexbino,LPCP,1,REGULAR_SEASON,109.94,93.8,102154
LPCP,Curse Of The Rexbino,1,REGULAR_SEASON,93.8,109.94,102154
